datetime,latitude,longitude,altitude
2023-12-27T09:00:00Z,-25.52260,-57.30560,0.0
2023-12-27T09:01:00Z,-25.52169,-57.30664,240.0
2023-12-27T09:02:00Z,-25.51955,-57.31029,480.0
2023-12-27T09:03:00Z,-25.51770,-57.31415,720.0
2023-12-27T09:04:00Z,-25.51648,-57.31695,960.0
2023-12-27T09:05:00Z,-25.51567,-57.31842,1200.0
2023-12-27T09:06:00Z,-25.51492,-57.31878,1440.0
2023-12-27T09:07:00Z,-25.51386,-57.31831,1680.0
2023-12-27T09:08:00Z,-25.51239,-57.31716,1920.0
2023-12-27T09:09:00Z,-25.51059,-57.31552,2160.0
2023-12-27T09:10:00Z,-25.50856,-57.31360,2400.0
2023-12-27T09:11:00Z,-25.50633,-57.31158,2640.0
2023-12-27T09:12:00Z,-25.50396,-57.30964,2880.0
2023-12-27T09:13:00Z,-25.50152,-57.30792,3120.0
2023-12-27T09:14:00Z,-25.49915,-57.30650,3360.0
2023-12-27T09:15:00Z,-25.49690,-57.30540,3600.0
2023-12-27T09:16:00Z,-25.49475,-57.30459,3840.0
2023-12-27T09:17:00Z,-25.49265,-57.30393,4080.0
2023-12-27T09:18:00Z,-25.49051,-57.30328,4320.0
2023-12-27T09:19:00Z,-25.48825,-57.30248,4560.0
2023-12-27T09:20:00Z,-25.48579,-57.30131,4800.0
2023-12-27T09:21:00Z,-25.48337,-57.29948,5040.0
2023-12-27T09:22:00Z,-25.48124,-57.29674,5280.0
2023-12-27T09:23:00Z,-25.47961,-57.29283,5520.0
2023-12-27T09:24:00Z,-25.47823,-57.28794,5760.0
2023-12-27T09:25:00Z,-25.47690,-57.28222,6000.0
2023-12-27T09:26:00Z,-25.47566,-57.27573,6240.0
2023-12-27T09:27:00Z,-25.47440,-57.26862,6480.0
2023-12-27T09:28:00Z,-25.47286,-57.26127,6720.0
2023-12-27T09:29:00Z,-25.47094,-57.25391,6960.0
2023-12-27T09:30:00Z,-25.46856,-57.24671,7200.0
2023-12-27T09:31:00Z,-25.46565,-57.23960,7440.0
2023-12-27T09:32:00Z,-25.46219,-57.23252,7680.0
2023-12-27T09:33:00Z,-25.45818,-57.22504,7920.0
2023-12-27T09:34:00Z,-25.45364,-57.21701,8160.0
2023-12-27T09:35:00Z,-25.44884,-57.20838,8400.0
2023-12-27T09:36:00Z,-25.44391,-57.19913,8640.0
2023-12-27T09:37:00Z,-25.43876,-57.18951,8880.0
2023-12-27T09:38:00Z,-25.43333,-57.17965,9120.0
2023-12-27T09:39:00Z,-25.42793,-57.16972,9360.0
2023-12-27T09:40:00Z,-25.42295,-57.15992,9600.0
2023-12-27T09:41:00Z,-25.41836,-57.15018,9840.0
2023-12-27T09:42:00Z,-25.41375,-57.14003,10080.0
2023-12-27T09:43:00Z,-25.40908,-57.12945,10320.0
2023-12-27T09:44:00Z,-25.40438,-57.11835,10560.0
2023-12-27T09:45:00Z,-25.39966,-57.10661,10800.0
2023-12-27T09:46:00Z,-25.39493,-57.09423,11040.0
2023-12-27T09:47:00Z,-25.39034,-57.08121,11280.0
2023-12-27T09:48:00Z,-25.38598,-57.06757,11520.0
2023-12-27T09:49:00Z,-25.38185,-57.05335,11760.0
2023-12-27T09:50:00Z,-25.37808,-57.03892,12000.0
2023-12-27T09:51:00Z,-25.37471,-57.02441,12240.0
2023-12-27T09:52:00Z,-25.37170,-57.00980,12480.0
2023-12-27T09:53:00Z,-25.36872,-56.99523,12720.0
2023-12-27T09:54:00Z,-25.36548,-56.98084,12960.0
2023-12-27T09:55:00Z,-25.36199,-56.96660,13200.0
2023-12-27T09:56:00Z,-25.35820,-56.95250,13440.0
2023-12-27T09:57:00Z,-25.35357,-56.93842,13680.0
2023-12-27T09:58:00Z,-25.34806,-56.92440,13920.0
2023-12-27T09:59:00Z,-25.34167,-56.91045,14160.0
2023-12-27T10:00:00Z,-25.33464,-56.89671,14400.0
2023-12-27T10:01:00Z,-25.32855,-56.88381,14640.0
2023-12-27T10:02:00Z,-25.32355,-56.87181,14880.0
2023-12-27T10:03:00Z,-25.31967,-56.86070,15120.0
2023-12-27T10:04:00Z,-25.31689,-56.85047,15360.0
2023-12-27T10:05:00Z,-25.31474,-56.84088,15600.0
2023-12-27T10:06:00Z,-25.31270,-56.83166,15840.0
2023-12-27T10:07:00Z,-25.31078,-56.82282,16080.0
2023-12-27T10:08:00Z,-25.30897,-56.81435,16320.0
2023-12-27T10:09:00Z,-25.30726,-56.80625,16560.0
2023-12-27T10:10:00Z,-25.30568,-56.79856,16800.0
2023-12-27T10:11:00Z,-25.30432,-56.79142,17040.0
2023-12-27T10:12:00Z,-25.30320,-56.78486,17280.0
2023-12-27T10:13:00Z,-25.30232,-56.77887,17520.0
2023-12-27T10:14:00Z,-25.30167,-56.77346,17760.0
2023-12-27T10:15:00Z,-25.30125,-56.76862,18000.0
2023-12-27T10:16:00Z,-25.30107,-56.76436,18240.0
2023-12-27T10:17:00Z,-25.30112,-56.76068,18480.0
2023-12-27T10:18:00Z,-25.30139,-56.75759,18720.0
2023-12-27T10:19:00Z,-25.30163,-56.75514,18960.0
2023-12-27T10:20:00Z,-25.30164,-56.75336,19200.0
2023-12-27T10:21:00Z,-25.30143,-56.75225,19440.0
2023-12-27T10:22:00Z,-25.30100,-56.75182,19680.0
2023-12-27T10:23:00Z,-25.30034,-56.75206,19920.0
2023-12-27T10:24:00Z,-25.29945,-56.75296,20160.0
2023-12-27T10:25:00Z,-25.29834,-56.75453,20400.0
2023-12-27T10:26:00Z,-25.29700,-56.75677,20640.0
2023-12-27T10:27:00Z,-25.29557,-56.75962,20880.0
2023-12-27T10:28:00Z,-25.29428,-56.76296,21120.0
2023-12-27T10:29:00Z,-25.29314,-56.76681,21360.0
2023-12-27T10:30:00Z,-25.29215,-56.77115,21600.0
2023-12-27T10:31:00Z,-25.29131,-56.77599,21840.0
2023-12-27T10:31:39.84375Z,-25.29086,-56.77954,21999.4
2023-12-27T10:31:39.84375Z,-25.29086,-56.77954,21999.4
2023-12-27T10:32:39.84375Z,-25.28980,-56.78366,20761.8
2023-12-27T10:33:39.84375Z,-25.28879,-56.78498,19633.9
2023-12-27T10:34:39.84375Z,-25.28876,-56.78337,18597.8
2023-12-27T10:35:39.84375Z,-25.28862,-56.77918,17639.7
2023-12-27T10:36:39.84375Z,-25.28764,-56.77268,16748.6
2023-12-27T10:37:39.84375Z,-25.28606,-56.76437,15915.8
2023-12-27T10:38:39.84375Z,-25.28402,-56.75474,15134.1
2023-12-27T10:39:39.84375Z,-25.27931,-56.74273,14397.6
2023-12-27T10:40:39.84375Z,-25.27320,-56.72881,13701.4
2023-12-27T10:41:39.84375Z,-25.26894,-56.71431,13041.3
2023-12-27T10:42:39.84375Z,-25.26583,-56.70005,12413.7
2023-12-27T10:43:39.84375Z,-25.26259,-56.68603,11815.5
2023-12-27T10:44:39.84375Z,-25.25831,-56.67247,11244.2
2023-12-27T10:45:39.84375Z,-25.25310,-56.65995,10696.7
2023-12-27T10:46:39.84375Z,-25.24819,-56.64856,10167.7
2023-12-27T10:47:39.84375Z,-25.24334,-56.63803,9655.5
2023-12-27T10:48:39.84375Z,-25.23846,-56.62800,9158.9
2023-12-27T10:49:39.84375Z,-25.23343,-56.61855,8676.8
2023-12-27T10:50:39.84375Z,-25.22843,-56.61016,8208.2
2023-12-27T10:51:39.84375Z,-25.22418,-56.60276,7752.1
2023-12-27T10:52:39.84375Z,-25.22101,-56.59548,7307.8
2023-12-27T10:53:39.84375Z,-25.21859,-56.58819,6874.5
2023-12-27T10:54:39.84375Z,-25.21653,-56.58077,6451.7
2023-12-27T10:55:39.84375Z,-25.21465,-56.57373,6038.6
2023-12-27T10:56:39.84375Z,-25.21269,-56.56799,5634.8
2023-12-27T10:57:39.84375Z,-25.21047,-56.56399,5239.7
2023-12-27T10:58:39.84375Z,-25.20782,-56.56190,4852.9
2023-12-27T10:59:39.84375Z,-25.20522,-56.56090,4474.1
2023-12-27T11:00:39.84375Z,-25.20295,-56.56042,4102.7
2023-12-27T11:01:39.84375Z,-25.20091,-56.56003,3738.5
2023-12-27T11:02:39.84375Z,-25.19896,-56.55931,3381.1
2023-12-27T11:03:39.84375Z,-25.19694,-56.55802,3030.2
2023-12-27T11:04:39.84375Z,-25.19485,-56.55621,2685.5
2023-12-27T11:05:39.84375Z,-25.19280,-56.55423,2346.7
2023-12-27T11:06:39.84375Z,-25.19086,-56.55252,2013.7
2023-12-27T11:07:39.84375Z,-25.18917,-56.55140,1686.2
2023-12-27T11:08:39.84375Z,-25.18793,-56.55119,1363.9
2023-12-27T11:09:39.84375Z,-25.18708,-56.55234,1046.7
2023-12-27T11:10:39.84375Z,-25.18620,-56.55502,734.3
2023-12-27T11:11:39.84375Z,-25.18510,-56.55827,426.6
2023-12-27T11:12:39.84375Z,-25.18422,-56.56038,123.5
2023-12-27T11:12:47.8125Z,-25.18420,-56.56039,83.8
